queen,Chance de Vencer (%)
BeBe Zahara Benet,63.28
Nina Flowers,81.57
Rebecca Glasscock,39.16
Shannel,13.76
Ongina,81.05
Jade Sotomayor,20.24
Akashia,0.11
Bianca Del Rio,91.99
Adore Delano,34.95
Courtney Act,60.92
Darienne Lake,0.53
BenDeLaCreme,84.4
Joslyn Fox,13.56
Trinity K. Bonet,3.53
Laganja Estranja,6.31
Milk,3.57
Priyanka,69.26
Rita Baga,80.6
Scarlett BoBo,55.52
Jimbo,35.7
Lemon,18.89
Ilona Verley,3.4
BOA,18.54
Kiara,34.33
Tynomi Banks,0.09
Vanessa Van Cartier,50.12
My Little Puny,49.8
Vivaldi,80.79
Keta Minaj,83.88
Tabitha,10.78
The Countess,62.58
Ivy-Elyse,0.74
Love Masisi,6.16
Sharonne,85.85
Estrella Xtravaganza,68.99
Venedita Von Däsh,59.06
Marina,56.05
Juriji der Klee,7.75
Drag Sethlas,44.2
Diamante Merybrown,25.08
Onyx,21.32
Jota Carajota,0.22
Keiona,75.92
Sara Forever,74.03
Mami Watta,8.33
Punani,69.63
Piche,80.2
Cookie Kunty,1.37
Moon,59.06
Ginger Bitch,8.76
Precious Paula Nicole,69.9
Marina Summers,66.1
Xilhouete,5.49
Eva Le Queen,55.95
Minty Fresh,49.63
Brigiding,44.1
Viñas DeLuxe,77.88
Lady Morgana,2.16
Turing,2.39
Gala Varo,65.74
Matraka,65.55
Regina Voce,64.67
Lady Kero,22.85
Margaret Y Ya,16.35
Argennis,4.94
Serena Morena,0.03
Leexa Fox,74.42
Eva Blunt,50.03
Horacio Potasio,45.3
Jenary Bloom,32.92
Elektra Vandergeld,32.9
Unique,1.77
Luna Lansman,16.38
Suculenta,7.33
Ava Pocket,0.3
Pandora Nox,46.63
Metamorkid,65.16
Yvonne Nightstand,14.83
Kelly Heelton,21.96
Kelly Heelton,60.64
Victoria Shakespears,2.74
Nikita Vegaz,18.05
Tessa Testicle,0.02
Frankie Wonga,64.77
Onya Nurve,87.62
Jewels Sparkles,48.62
Lexi Love,61.13
Sam Star,36.3
Suzie Toot,81.27
Lana Ja'Rae,0.91
Lydia B Kollins,5.25
Arrietty,4.55
Kori King,2.36
Acacia Forgot,2.38
Crystal Envy,8.97
Alexis Mateo,25.15
Cheryl,64.73
Kennedy Davenport,77.87
Miss Fiercalicious,23.8
Eureka!,11.04
Tynomi Banks,11.42
Le Fil,4.68
