id_queen,nome,colocacao,episodio,wins,highs,safe,low,bttm,elim,cidade,num_conf
1,"BeBe Zahara Benet",1,1,0,0,1,0,0,0,NULL,NULL
1,"BeBe Zahara Benet",1,2,0,0,2,0,0,0,NULL,NULL
1,"BeBe Zahara Benet",1,3,1,0,2,0,0,0,NULL,NULL
1,"BeBe Zahara Benet",1,4,1,1,2,0,0,0,NULL,NULL
1,"BeBe Zahara Benet",1,5,1,1,2,0,1,0,NULL,NULL
1,"BeBe Zahara Benet",1,6,2,1,2,0,1,0,NULL,NULL
1,"BeBe Zahara Benet",1,7,2,1,2,0,1,0,NULL,NULL
1,"BeBe Zahara Benet",1,8,2,1,2,0,1,0,NULL,NULL
1,"BeBe Zahara Benet",1,9,2,1,2,0,1,0,NULL,NULL
1,"BeBe Zahara Benet",1,10,2,1,2,0,1,0,NULL,NULL
1,"BeBe Zahara Benet",1,11,2,1,2,0,1,0,NULL,NULL
1,"BeBe Zahara Benet",1,12,2,1,2,0,1,0,NULL,NULL
1,"BeBe Zahara Benet",1,13,2,1,2,0,1,0,NULL,NULL
1,"BeBe Zahara Benet",1,14,2,1,2,0,1,0,NULL,NULL
1,"BeBe Zahara Benet",1,15,2,1,2,0,1,0,NULL,NULL
2,"Nina Flowers",2,1,1,0,0,0,0,0,NULL,NULL
2,"Nina Flowers",2,2,1,1,0,0,0,0,NULL,NULL
2,"Nina Flowers",2,3,1,2,0,0,0,0,NULL,NULL
2,"Nina Flowers",2,4,1,3,0,0,0,0,NULL,NULL
2,"Nina Flowers",2,5,1,3,0,1,0,0,NULL,NULL
2,"Nina Flowers",2,6,1,4,0,1,0,0,NULL,NULL
2,"Nina Flowers",2,7,1,4,0,1,0,0,NULL,NULL
2,"Nina Flowers",2,8,1,4,0,1,0,0,NULL,NULL
2,"Nina Flowers",2,9,1,4,0,1,0,0,NULL,NULL
2,"Nina Flowers",2,10,1,4,0,1,0,0,NULL,NULL
2,"Nina Flowers",2,11,1,4,0,1,0,0,NULL,NULL
2,"Nina Flowers",2,12,1,4,0,1,0,0,NULL,NULL
2,"Nina Flowers",2,13,1,4,0,1,0,0,NULL,NULL
2,"Nina Flowers",2,14,1,4,0,1,0,0,NULL,NULL
2,"Nina Flowers",2,15,1,4,0,1,0,0,NULL,NULL
3,"Rebecca Glasscock",3,1,0,0,0,1,0,0,NULL,NULL
3,"Rebecca Glasscock",3,2,0,1,0,1,0,0,NULL,NULL
3,"Rebecca Glasscock",3,3,0,2,0,1,0,0,NULL,NULL
3,"Rebecca Glasscock",3,4,0,2,0,1,1,0,NULL,NULL
3,"Rebecca Glasscock",3,5,1,2,0,1,1,0,NULL,NULL
3,"Rebecca Glasscock",3,6,1,2,0,1,2,0,NULL,NULL
3,"Rebecca Glasscock",3,7,1,2,0,1,2,0,NULL,NULL
3,"Rebecca Glasscock",3,8,1,2,0,1,2,0,NULL,NULL
3,"Rebecca Glasscock",3,9,1,2,0,1,2,0,NULL,NULL
3,"Rebecca Glasscock",3,10,1,2,0,1,2,0,NULL,NULL
3,"Rebecca Glasscock",3,11,1,2,0,1,2,0,NULL,NULL
3,"Rebecca Glasscock",3,12,1,2,0,1,2,0,NULL,NULL
3,"Rebecca Glasscock",3,13,1,2,0,1,2,0,NULL,NULL
3,"Rebecca Glasscock",3,14,1,2,0,1,2,0,NULL,NULL
3,"Rebecca Glasscock",3,15,1,2,0,1,2,0,NULL,NULL
4,Shannel,4,1,0,0,1,0,0,0,NULL,NULL
4,Shannel,4,2,0,1,1,0,0,0,NULL,NULL
4,Shannel,4,3,0,1,1,0,1,0,NULL,NULL
4,Shannel,4,4,0,1,1,1,1,0,NULL,NULL
4,Shannel,4,5,0,2,1,1,1,0,NULL,NULL
4,Shannel,4,6,0,2,1,1,1,1,NULL,NULL
4,Shannel,4,7,0,2,1,1,1,1,NULL,NULL
4,Shannel,4,8,0,2,1,1,1,1,NULL,NULL
4,Shannel,4,9,0,2,1,1,1,1,NULL,NULL
4,Shannel,4,10,0,2,1,1,1,1,NULL,NULL
4,Shannel,4,11,0,2,1,1,1,1,NULL,NULL
4,Shannel,4,12,0,2,1,1,1,1,NULL,NULL
4,Shannel,4,13,0,2,1,1,1,1,NULL,NULL
4,Shannel,4,14,0,2,1,1,1,1,NULL,NULL
4,Shannel,4,15,0,2,1,1,1,1,NULL,NULL
5,Ongina,5,1,0,1,0,0,0,0,NULL,NULL
5,Ongina,5,2,1,1,0,0,0,0,NULL,NULL
5,Ongina,5,3,1,2,0,0,0,0,NULL,NULL
5,Ongina,5,4,2,2,0,0,0,0,NULL,NULL
5,Ongina,5,5,2,2,0,0,0,1,NULL,NULL
